date,title,subtitle,claps,responses,story_url
01/05/2019,Do you Write From Pain or Joy?,-,411,5,https://medium.com/swlh/do-you-write-from-pain-or-joy-ab1b88b413e3?source=collection_archive---------6-----------------------
01/05/2019,I Prefer Ideas,Don’t you?,269,2,https://medium.com/swlh/i-prefer-ideas-e83fabeb4fc3?source=collection_archive---------7-----------------------
01/06/2019,"7 Best Free Object-Oriented Programming Online Courses with Python, Java, and JavaScript",-,3.1K,12,https://medium.com/swlh/5-free-object-oriented-programming-online-courses-for-programmers-156afd0a3a73?source=collection_archive---------0-----------------------
01/06/2019,All the JavaScript you need to know before starting with React,-,1.1K,3,https://medium.com/swlh/all-the-javascript-you-need-to-know-before-starting-with-react-abe2ebffb067?source=collection_archive---------1-----------------------
01/06/2019,8 Vue.js UI Component for 2019,Vue.js is quickly becoming a fan favorite for developers when it comes…,2.5K,4,https://medium.com/swlh/8-vue-js-ui-component-for-2019-79fc43d6da79?source=collection_archive---------2-----------------------
01/06/2019,11 Issue Tracking Systems to checkout in 2019,-,33,4,https://medium.com/swlh/11-issue-tracking-systems-to-checkout-in-2019-fd80482c85ab?source=collection_archive---------3-----------------------
01/06/2019,An immutable file and data store,-,654,5,https://medium.com/swlh/an-immutable-file-and-data-store-36f67fc044d7?source=collection_archive---------4-----------------------
01/06/2019,"Pen Name, Alias, or You?",What’s My Name Again?,1.7K,18,https://medium.com/swlh/pen-name-alias-or-you-8b4e2e844528?source=collection_archive---------5-----------------------
01/06/2019,So You Want To Manage Product Managers?,How PMs move into people management,237,0,https://medium.com/swlh/so-you-want-to-manage-product-managers-eae82fae4e87?source=collection_archive---------6-----------------------
01/06/2019,Why motivation isn’t enough (and how to follow through on your New Year resolutions),-,101,0,https://medium.com/swlh/why-motivation-isnt-enough-and-how-to-follow-through-on-your-new-year-resolutions-19025724a3c3?source=collection_archive---------7-----------------------
01/06/2019,How I got average 200k monthly views on Medium,-,261,3,https://medium.com/swlh/how-i-got-average-200k-monthly-views-on-medium-1446fe8fd76e?source=collection_archive---------8-----------------------
